"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65","4.3.1 Verifier should reject an ID token that does not contain an access token","","Mon Jun 29 08:22:01 UTC 2026","passed","Mon Jun 29 08:22:01 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_01_presentationResponse_idTokenNoTokenClaim"
"","261","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon Jun 29 08:22:37 UTC 2026","passed","Mon Jun 29 08:22:38 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpnLegacy_shouldReject"
"","68","Policy is accepted ""Data Usage End Date""","","Mon Jun 29 08:25:34 UTC 2026","passed","Mon Jun 29 08:25:34 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","4","verifyCorrectParticipantAgentId_forDsp2025(DataspaceProfileContextRegistry)","","Mon Jun 29 08:23:40 UTC 2026","passed","Mon Jun 29 08:23:40 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","verifyCorrectParticipantAgentId_forDsp2025"
"","5093","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon Jun 29 08:24:23 UTC 2026","passed","Mon Jun 29 08:24:28 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate"
"","12841","httpPushNonFiniteDataTransfer()","","Mon Jun 29 08:25:40 UTC 2026","passed","Mon Jun 29 08:25:53 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp08to08","httpPushNonFiniteDataTransfer"
"","2421","The authentication token misses required claims: audience","","Mon Jun 29 08:22:09 UTC 2026","passed","Mon Jun 29 08:22:11 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidAuthenticationToken_missingAudience"
"","65","Policy is accepted ""Warranty Duration Months""","","Mon Jun 29 08:25:35 UTC 2026","passed","Mon Jun 29 08:25:35 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","6194","httpPushDataTransfer()","","Mon Jun 29 08:26:20 UTC 2026","passed","Mon Jun 29 08:26:26 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushDataTransfer"
"","58","Policy is not accepted because definition is not correct ""Usage policy permission with not allowed constraints""","","Mon Jun 29 08:25:36 UTC 2026","passed","Mon Jun 29 08:25:36 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","2054","transferFile_success(Vault)","","Mon Jun 29 08:22:50 UTC 2026","passed","Mon Jun 29 08:22:53 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_success"
"","97","Policy is accepted ""Data Usage End Duration Days""","","Mon Jun 29 08:25:34 UTC 2026","passed","Mon Jun 29 08:25:34 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","20977","transferFile_largeFile(long, Vault) File size bytes: 536870912","","Mon Jun 29 08:22:03 UTC 2026","passed","Mon Jun 29 08:22:24 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_largeFile"
"","71","Policy is accepted ""Jurisdiction Location Reference""","","Mon Jun 29 08:25:34 UTC 2026","passed","Mon Jun 29 08:25:34 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","395","Expect the Catalog request to fail if a credential is expired","","Mon Jun 29 08:24:01 UTC 2026","passed","Mon Jun 29 08:24:02 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialExpired"
"","2130","transferFile_success()","","Mon Jun 29 08:23:26 UTC 2026","passed","Mon Jun 29 08:23:28 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferFile_success"
"","74","Policy is accepted ""Usage Purpose""","","Mon Jun 29 08:25:34 UTC 2026","passed","Mon Jun 29 08:25:35 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","82","Policy is accepted ""Liability""","","Mon Jun 29 08:25:34 UTC 2026","passed","Mon Jun 29 08:25:34 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","4420","Contract policy is fulfilled ""MembershipCredential""","","Mon Jun 29 08:24:02 UTC 2026","passed","Mon Jun 29 08:24:07 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","44","Policy is not accepted due to missing context ""Data Usage End Duration Days""","","Mon Jun 29 08:25:37 UTC 2026","passed","Mon Jun 29 08:25:37 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","91","4.3.3 Verify invalid access token - iss and sub different","","Mon Jun 29 08:22:01 UTC 2026","passed","Mon Jun 29 08:22:01 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenInvalidSub"
